Term,Meaning (VI),Target EN,Target ZH,Enable
Machine,Máy hơ chỉ,Blowing machine,烘線機,TRUE
Machine,Máy ép nối đường may,Heat pressing seam tape,熱風縫口密封機,TRUE
Machine,Máy may đan,knitting machine, 車馬克機,TRUE
Machine,Máy vắt sổ,Oversewing machine,考克機,TRUE
Machine,Máy viền,Binding machine,滾邊機,TRUE
Machine,Máy zig zag,Zigzag stitching machine,萬能機,TRUE
Machine,Máy may rút mũi,Toe gathering machine,縮頭機,TRUE
Machine,Máy bàn 1 kim,1 needle flat bed stitching machine,單針平車,TRUE
Machine,Máy bàn 2 kim,2 needles flat stitching machine,雙針平車,TRUE
Machine,Máy cuộn biên zig zag,Binding & zig zag stitching machine,滾邊萬能機,TRUE
Machine,Máy trụ 1 kim,1 needle post stitching machine,高頭單針,TRUE
Machine,Máy trụ 2 kim,2 needles post stitching machine,高頭雙針,TRUE
Machine,Máy may 4kim 6chỉ,4 needles 6 threads machine,四針六線機,TRUE
Machine,Máy may cóp đế,Strobelling machine, 拉帮机,TRUE
Machine,Máy làm mềm pho,Heel counter activated machine,後套軟化機,TRUE
Machine,Máy hấp hơi nước ,Upper steaming machine,鞋頭蒸濕機,TRUE
production,Máy gò gót,Heel lasting machine,后幫機,TRUE
Machine,Máy gò mũi,Toe lasting machine,前幫機,TRUE
Machine,Máy gò hông,Side lasting machine,腰幫機,TRUE
Machine, Máy định hình gót,Heel shape molding machine,後踵定型机,TRUE
Machine,Máy định hình mũi,Toe shape pressing machine,鞋头定型机,TRUE
Machine,Máy định vị thân,Marking on upper Machine,車大底線機器,TRUE
Machine,Máy may chỉ đế,Stitching thread on outsole,车大底机,TRUE
Machine,Máy làm thẳng đế EVA,EVA wrinkle removing machine,EVA底除皺機,TRUE
Machine,Máy nông phom,Lasting machine,入楦机,TRUE
Machine,Máy ép chữ thập,Cross pressing machine,十字压机,TRUE
Machine,Máy xén dây talon,Trim off excessed rubber machine,削边条机,TRUE
Machine,Máy mài,Buffing machine,打粗,TRUE
Machine,Máy ép thủy lực,Liquid bed Pressing machine,水壓機,TRUE
Machine,Máy đóng tem tự động,Auto date marking,自動蓋章機,TRUE
Machine,Máy lăn keo,Roller coating,過膠機,TRUE
Machine,Máy ép nóng,Heat pressing machine,熱壓機,TRUE
Machine,Máy chấm định vị siêu âm,Heat gun ,定位超音机,TRUE
Machine,Máy cắt tấm,Rubber piece cutting machine,割片机,TRUE
Machine,Máy cắt hạt,Rubber palletizing machine ,造粒机,TRUE
Machine,Máy bơm keo,Rubber Injection machine,膠水泵機,TRUE
Machine,Máy xén biên đế,Outsole side wall trimming machine,大底修邊機,TRUE
Quality,Bỏ mũi,Skipped stitch,跳針,TRUE
Quality,Đứt chỉ,Broken thread,斷線,TRUE
Quality,nổi chỉ,Loose thread,浮線,TRUE
Quality,Đường may không thẳng,Uneven stitching,線跡不直,TRUE
Quality,Chưa cắt chỉ,Untrimmed thread,线头未剪,TRUE
Quality,Rách thân,Damaged upper,鞋面破損,TRUE
Quality,Vật tư biến dạng,Material deformation,材料變形,TRUE
Quality,Trầy vật tư,Material scratch,材料刮傷,TRUE
Quality,Thiếu keo,Insufficient cement,上膠不足,TRUE
Quality,Cao keo,Excess cement,上胶过多,TRUE
production,Mở chuyền,Start production line,開線,TRUE
production,Xác nhận mẫu đầu,First article confirmation,首件確認,TRUE
production,Kiểm tra chuyền,Line inspection,巡檢,TRUE
production,Kiểm tra toàn bộ,100% inspection,全檢,TRUE
Component,Lót lưới,Mesh lining,網布里,TRUE
Component,Đế giảm chấn,Cushion midsole,緩震中底,TRUE
Component,Đệm khí,Air unit,氣墊,TRUE
Component,Đế cao su,Rubber outsole,橡膠底,TRUE
Component,Logo,Logo,商標,TRUE
Component,Tem,Label,標籤,TRUE
Component,Tem ni số,Size label,尺寸標,TRUE
Component,Mã vạch,Barcode,條碼,TRUE
Component,Mạc treo,Hang tag,吊牌,TRUE
Component,Cấu trúc thân,Upper construction,鞋面結構,TRUE
Component,Cấu trúc đế,Sole structure,鞋底結構,TRUE
Quality,Độ dày vật tư,Material thickness,材料厚度,TRUE
production,Chân trái phải,Left and right shoe,左右腳,TRUE
production,Giày thành phẩm,Finished shoes,成品鞋,TRUE
Quality,Lỗ kim quá lớn,Needle hole too big,針孔過大,TRUE
production,May hai đường,Double stitching,雙線,TRUE
Quality,Logo lệch,Crooked logo,標誌歪斜,TRUE
Quality,Sai tem nhãn, Wrong label,標籤錯誤,TRUE
Quality,Chưa loại bỏ dư liệu thừa,Excess material not removed,多餘材料未移除,TRUE
Quality,Lỗi đóng gói,Packing error,包裝錯誤,TRUE
Quality,Sai mã vạch,Barcode error,條碼錯誤,TRUE
Quality,Vật tư bị tách lớp,Material delamination,材料脫層,TRUE
Quality,Vật tư bị co rút,Material shrinkage,材料縮水,TRUE
Quality,Vật tư ố vàng,Yellowing,材料發黃,TRUE
Quality,Bung đường may,Stitch coming off,車線脫落,TRUE
Component,Đế cốp (đế trung tháo),Insole,中底板,TRUE
