Term,Meaning (VI),Target EN,Target ZH,,
Material,Lót đệm ôde miếng phủ vcổ,Eyestay lining and collar overlay,眼片內裡貼上領口,,
Material,Lót đệm ôde thân,Quarter eyestay lining,眼片內裡,,
Material,Lót đệm trên,Upper eyestay lining,上眼片內裡,,
Material,Lót hậu,Heel lining,後套內裡,,
Material,Lót lưỡi gà,Tongue lining,鞋舌內裡,,
Material,Lót lưỡi gà dưới,Bottom tongue lining,下內裡領口,,
Material,Lót lưỡi gà trên,Top tongue lining,上內裡鞋舌,,
Material,Lót miếng phủ thân,Quarter overlay,鞋身內理,,
Material,Lót mũi,Vamp lining  ,鞋頭內裡,,
Material,Lót mũi-,Vamp lining,鞋頭內裡,,
Material,Lót mũi giày,Vamp lining,鞋頭內裡,,
Material,Lót mũi-lgà,Vamp lining - tongue lining,鞋舌-鞋頭內裡,,
Material,Lót mũi-lót lưỡi gà dưới,Vamp lining-bottom tongue lining,鞋頭內裡-下鞋舌內裡,,
Material,Lót mũi-thân,Vamp lining - quarter lining ,鞋身-鞋頭內裡,,
Material,Lót tt vòng cổ,Collar patch lining,領口內裡飾片,,
Material,Lót thân,Quarter lining   ,鞋身內裡,,
Material,Lót thân - vòng cổ,Quarter lining - Collar,鞋身內裡-內裡領口,,
Material,Lót thân HN,Lateral quarter lining,鞋身內裡外腰,,
Material,Lót thân HT,Medial quarter lining,鞋身內裡內腰,,
Material,Lót thân HT-HN,Quarter lining (Medial-Lateral),鞋身內裡HT-HN,,
Material,Lót thân sau,Rear quarter lining ,後鞋身內裡,,
Material,Lót thân trước,Front quarter lining ,前鞋身內裡,,
Material,Lót thân-mũi HT+HN,Quarter lining - medial + lateral collar,鞋身內裡－鞋頭內外腰,,
Material,Lót trang trí hậu,Heel patch lining,後套飾片內裡,,
Material,Lót vòng cổ,Collar lining,領口內裡,,
Material,Lót vòng cổ dưới ,Bottom collar lining,領口內裡下片,,
Material,Lót vòng cổ giữa,Middle collar lining ,中內裡領口,,
Material,Lót vòng cổ trên,Top collar lining ,上內裡領口,,
Material,Lưỡi gà,Tongue,鞋舌,,
Material,Lưỡi gà dưới,Bottom tongue,下鞋舌,,
Material,Lưỡi gà giữa,Central tongue,中鞋舌,,
Material,Lưỡi gà trên,Top tongue,上鞋舌,,
Material,May ráp vòng cổ trên vào vòng cổ,Stitching top collar onto collar,車接上領口於領口,,
Material,May tt logo thân,Stitching quarter deco logo,車鞋身LOGO飾片,,
Material,Mếng phủ vòng cổ,Collar overlay,領口蓋片,,
Material,miếng chắn bùn,Mudguard,檔泥片,,
Material,Miếng chặn dây kéo,Bottom zipper cover,鞋拉鍊檔布,,
Material,Miếng chắn đệm,Eyestay overlay,鞋眼檔布,,
Material,Miếng chắn thân,Quarter mudguard,鞋身檔布,,
Material,Miếng dưới đệm,Bottom eyestay,鞋眼下檔布,,
Material,Miếng dưới hậu,Bottom heel overlay,後套下片,,
Material,Miếng phủ bao mũi,Vamp rubber overlay,前包頭蓋片,,
Material,Miếng phủ đệm trên,Top eyestay overlay,上眼片蓋片,,
Material,Miếng phủ lưỡi gà,Upper tongue,鞋舌蓋片,,
Material,Miếng phủ lưỡi gà dưới,Bottom tongue overlay,下鞋舌蓋片,,
Material,Miếng phủ lưỡi gà trên,Top tongue overlay,上鞋舌蓋片,,
Material,Miếng phủ mũi giày,Vamp overlay,鞋頭蓋片,,
Material,Miếng phủ thân giày,Quarter overlay,鞋身蓋片,,
Material,Mouse 3 dây tt,3 stripes foam,三條飾片泡棉,,
Material,Mouse hậu,Heel foam,後套泡棉,,
Material,Mouse lgà,Tongue padding,鞋舌泡棉,,
Material,Mouse miếng phủ đệm trên,Top eyestay padding overlay,上眼片蓋片泡棉,,
Material,Mouse tt gót,Heel patch,後飾片泡棉,,
Material,Mouse tt hậu,Heel deco padding,後飾片泡棉,,
Material,Mouse tt lót vòng cổ,Collar padding lining ,領口內裡泡棉飾片,,
Material,Mouse tt vòng  cổ,Foam collar patch,領口泡棉飾片,,
Material,Mouse thân 1,Quarter foam 1,鞋身泡棉  1,,
Material,Mouse thân 2,Quarter foam 2,鞋身泡棉  2,,
Material,Mouse vcổ,Collar padding,領口泡棉,,
Material,Mouse vcổ 1,Collar padding 1,領口泡棉 1,,
Material,Mouse vcổ 2,Collar padding 2,領口泡棉2,,
Material,Mouse vcổ 3,Collar foam 3,領口泡棉 3,,
Material,Mũi - thân (2-4),Vamp - quarter (2-4),鞋頭-鞋身,,
Material,Mũi đệm,Eyestay Vamp,鞋頭眼片,,
Material,Mũi giày,Vamp   ,鞋頸,,
Material,Mũi giày lần 2,Stitching vamp 2nd times,鞋頭第一次,,
Material,Mũi-lưỡi gà,Vamp - tongue,鞋頭-鞋舌,,
Material,Mũi-thân giày,Vamp-Quarter,鞋頭-鞋身,,
Material,Mũi-thân HN,Vamp - lateral quarter ,鞋頭－鞋身外腰,,
Material,Nhám bông,Loop,毛帶,,
Material,Nhám bông 1,Strap velcro loop 1,毛帶一,,
Material,Nhám móc,Hook,勾帶,,
Material,Nhám móc 1,Strap velcro hook 1,勾帶一,,
Material,Nhãn đế trung,Sockliner logo ,中底標,,
Material,Nhãn lưỡi gà,Tongue label,鞋舌標,,
Material,PE vòng cổ,Collar PE,PE領口,,
Material,PU gót,Back stripe PU,後跟,,
Material,Phun keo thân + fo,Cementing on quarter + heel counter,鞋身 + 內後套噴膠,,
Material,"Quet keo biên mũi,lgà,đệm,dây gót","Cementing the edge of vamp, tongue, eyestay and back strap",擦膠鞋頭邊，鞋舌，眼片，後吊,,
Material,T/ cường mouse lgà ,Tongue deco reinforcement,貼鞋舌泡棉補強,,
Material,T/c thân giữa,Central quarter reinforcement,中鞋身補強,,
Material,T/c thân HT-HN,Lat-med quarter reinforcement,鞋身補強內要-外腰,,
Material,T/cường chân gò mũi,Vamp extension,鞋頭幫腳補強,,
Material,T/cường đệm,Eystay reinforcement,眼片補強,,
Material,T/cường đệm dưới,Bottom eystay reinforcement,下眼片補強,,
Material,T/cường đệm trên,Top eystay reinforcement,上眼片補強,,
Material,T/cường hậu,Heel cap reinforcement,後套補強,,
Material,T/cường hậu trên,Upper heel cap reinforecement,後套補強,,
Material,T/cường logo hậu,Heel logo reinforcement,後套 LOGO補強,,
Material,T/cường logo lưỡi gà,Tongue logo reinforcement,鞋舌LOGO補強,,
Material,T/cường mouse tt lót vòng cổ,Collar padding lining reinforcement,領口飾片泡棉補強,,
Material,T/cường mũi,Vamp reinforcement,鞋頭補強,,
Material,T/cường vcổ,Collar reinforcement,領口補強,,
Material,T/cường vòng sân,Toe cap reinforcement,前套補強,,
Material,Tăng cường,Reinforcement,補強,,
Material,Tăng cường 3 dây tt,3 stripes reinforcement,三條槓補強,,
Material,Tăng cường bao mũi,Toe cap reinforcement,前包頭補強,,
Material,Tăng cường bao mũi 1,1st toe box reinforcement,前包頭補強1,,
Material,Tăng cường chân gò bao mũi,Toe cap reinforcement,前包頭幫腳補強,,
Material,Tăng cường chân gò mũi,Vamp extension,鞋頭幫腳補強,,
Material,Tăng cường dây dệt,Laceloop reinforcement,織帶補強,,
Material,Tăng cường dây gót,Back strap reinforcement,後吊補強,,
Material,Tăng cường dây kéo,Zipper reinforcement,拉鍊補強,,
Material,Tăng cường dây quai,Laceloop reinforcement, 拌帶補強,,
Material,Tăng cường dây quai đệm,Eyestay strap reinforcement, 鞋眼拌帶補強,,
Material,Tăng cường dây quai mũi,Vamp laceloop reinforcement,鞋頭吊補強,,
Material,Tăng cường đệm chân gò mũi,Vamp extension,眼片幫腳補強,,
Material,Tăng cường đệm ép lổ (HT-HN),Eyestay reinforcement (lateral-medial),眼片補強壓孔 (內腰 + 外腰),,
Material,Tăng cường đệm ép lổ HN,Lateral eyestay reinforcement,眼片補強壓孔外腰,,
Material,Tăng cường đệm ép lổ HT,Medial eyestay reinforcement,眼片補強壓孔內腰 ,,
Material,Tăng cường đệm odê,Eystay reinforcement,鞋眼眼片補強,,
Material,Tăng cường đệm odê dưới,Bottom eyestay reinforcement,下眼片補強,,
Material,Tăng cường đệm ô dê thân,Quarter eyestay reinforcement,眼片-鞋身補強,,
Material,Tăng cường đệm thân,Quarter eystay reinforcement,鞋身眼片補強,,
Material,Tăng cường đệm trên,Top eystay reinforcement,上眼片補強,,
Material,Tăng cường đệm vòng cổ,Collar eyestay reinforcement,領口眼片補強,,
Material,Tăng cường ép lưỡi gà,Tongue reinforcement,鞋舌補強,,
Material,Tăng cường ép mũi,Vamp reinforcement,鞋頭補強,,
Material,Tăng cường hậu trong (pho),Medial heel cap reinforcement (heel counter),內後跟片補強,,
Material,Tăng cường logo dây quai,Vamp laceloop lining,Logo 拌帶補強,,
Material,Tăng cường logo hậu,Heel logo reinforcement,後套 Logo 補強,,
Material,Tăng cường logo lưỡi gà,Tongue logo reinforcement,鞋舌 Logo 補強,,
Material,Tăng cường logo thân,Quarter logo reinforcement,鞋身 Logo 補強,,
Material,Tăng cường Logo vòng cổ,Collar logo reinforcement,Logo領口補強,,
Material,Tăng cường lót dây kéo,Zipper lining reinforcement,拉鍊內裡補強,,
Material,Tăng cường lót vòng cổ,Collar lining reinforcement,領口補強,,
Material,Tăng cường lưỡi gà,Tongue reinforcement,鞋舌補強,,
Material,Tăng cường lưỡi gà trên,Upper tongue reinforcement,鞋舌補強,,
Material,Tăng cường mouse vòng cổ,Collar padding reinforcement,跑棉領口補強,,
Material,Tăng cường mũi,Vamp reinforcement,鞋頭補強,,
Material,Tăng cường mũi (0.4MM TFL 303),Vamp reinforcement (0.4MM TFL 303),鞋頭補強  (0.4MM TFL 303),,
Material,Tăng cường mũi (6an+td),Vamp reinforcement (6an+td),鞋頭補強 (6安 + 自貼),,
Material,Tăng cường mũi HT,Medial vamp reinforcement,鞋頭補強內腰,,
Material,Tăng cường tt gót,Back strap deco reinforcement,後跟飾片補強,,
Material,Tăng cường tt lưỡi gà,Tongue deco reinforcement,鞋舌飾片補強,,
Material,Tăng cường thân,Quarter reinforcement,鞋身補強,,
Material,Tăng cường thân HN,Lateral quarter reinforcement,外鞋身補強,,
Material,Tăng cường trang trí đệm vòng cổ,Collar eyestay deco reinforcement,領口眼片飾片補強,,
Material,Tăng cường trang trí hậu,Heel patch reinfocement,後套補強,,
Material,Tăng cường trang trí thân,Quarter deco reinforcement,鞋身補強,,
Material,Tăng cường trang trí thân sau,Rear quarter deco reinforcement,鞋身後飾片補強,,
Material,Tăng cường trang trí vòng cổ,Collar patch reinforcement,領口飾片補強,,
Material,Tăng cường vòng cổ,Collar reinforcement,領口補強,,
Material,Tc dây gót trên (dây quai),Top back strap reinforcement (Laceloop),後吊補強,,
Material,Tc nối mũi,Vamp reinforcement,鞋頭補強接布,,
Material,Tô biên dây gót+Tách dây gót,...+Seperate back strap,涂邊後吊 + 分後吊,,
Material,TT đế trung,Sockliner reinforcement,中底飾片,,
Material,TT lưỡi gà,Tongue deco,鞋舌飾片,,
Material,TT thân HN,Lateral quarter deco,外鞋身飾片,,
Material,TT thân HT,Medial quarter deco,內鞋身飾片,,
Material,Thân dưới,Bottom quarter,下鞋身,,
Material,Thân dưới (T-N),Bottom quarter,鞋身下片（內，外腰）,,
Material,Thân dưới gót,Heel bottom quarter,下後吊的鞋身,,
Material,Thân dưới lớn,Big bottom quarter,下大的鞋身,,
Material,Thân dưới mũi,Vamp bottom quarter,下鞋頭的鞋身,,
Material,Thân dưới nhỏ,Small  bottom quarter,下小的鞋身,,
Material,Thân giày,Quarter  ,鞋身,,
Material,Thân giày trên,Top quarter,鞋身上片,,
Material,Thân giày(HT+HN),Quarter (lateral+medial),鞋身(HT+HN),,
Material,Thân giữa (T-N),Middle quarter (Medial-Lateral),中鞋身(T-N),,
Material,Thân HT,Medial quarter ,鞋身內腰,,
Material,Thân sau (T-N),Rear quarter (Medial-Lateral),後鞋身(T-N),,
Material,Thân trên (T-N),Top quarter,鞋身上片（內，外腰）,,
Material,Thân trước (T-N),Front quarter (Medial-Lateral),前鞋身 (T-N),,
Material,Thân vòng cổ,Collar quarter,鞋身領口,,
Material,Thân-đệm (T-N),Quarter-Eystay,鞋身，眼片，（內，外腰）,,
Material,Trang trí  lưỡi gà sau khi ép,Tongue patch after HF,壓鞋舌片後,,
Material,Trang trí đệm vòng cổ,Collar eyestay deco,領口眼片飾片,,
Material,Trang trí gót,Back strap patch,後跟飾片,,
Material,Trang trí gót,Heel patch,後套飾片,,
Material,Trang trí hậu,Heel patch,後套飾片,,
Material,Trang trí hậu dưới,Bottom heel patch,後套飾片下,,
Material,Trang trí hậu HN,Lateral heel patch,後套飾片 (外腰),,
Material,Trang trí hậu HT,Medial heel patch,後套飾片 (內腰),,
Material,Trang trí lót thân,Quarter lining deco,內理飾片,,
Material,Trang trí lưỡi gà,Tongue deco,鞋舌飾片,,
Material,Trang trí mũi,Vamp patch,鞋頭飾片,,
Material,Trang trí mũi,Vamp deco,鞋頭飾片,,
Material,Trang trí thân,Quarter deco,鞋身飾片,,
Material,Trang trí thân ,Quarter deco,鞋身飾片,,
Material,Trang trí thân sau,Rear quarter deco,鞋身後飾片,,
Material,Trang trí thân trên,Top quarter deco,鞋身上飾片,,
Material,Trang trí thân trước,Front quarter deco,鞋身前飾片,,
Material,Trang trí vòng cổ,Collar deco,領口飾片,,
Material,Vòng cổ,Collar,領口,,
Material,Vòng cổ + tc vòng cổ (dán rồi chặt),"Collar + collar reinforcement (attaching, then cutting)",領口+領口補強(貼後才裁斷),,
Material,Vòng cổ dưới,Bottom collar,領口下片,,
Material,Vòng cổ giữa,Central Collar,領口中片,,
Material,Vòng cổ hông trong,Collar medial ,內領口,,
Material,Vòng cổ trên,Top collar,領口上片,,
Material,Vòng sân,Toe cap,前套,,
Material,Xịt keo thân để dán mouse vòng cổ,Spraying cement on quarter and attaching collar padding,噴鞋身膠來貼領口泡棉,,
Material,Đánh keo,Mixing rubber,打膠,,
Tool,Rập giấy,pattern,紙板,,
noun,Khách hàng thứ ba,third party,三方,,
Quality issues,tái chế,repacking,翻箱,,
Quality,kiểm hàng,inspections,驗貨,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy chặt phẳng,Roller cutting machine,裁斷機,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy chặt bán tự động,Semi auto cutting machine,半自動裁斷機,,
"Chặt & Chuẩn bị
Cutting & Preparation","Máy chặt cóc (Chặt da, TPU, rạng)",Swing arm cutting machine,皮料裁斷機,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy chặt tự động,Auto Cutting Machine,自動裁斷機,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy cắt Laser,Laser  cutting machine,鐳射機,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy ép chuyển in đế trung,Heat transfer logo sockliner, ,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy ép cao tầng,Embossing machine, 压高周波,,
"Chặt & Chuẩn bị
Cutting & Preparation",Máy in lụa,Printing machine,印花機,,
"May
Stitching",Thủ công,Handwork ,手工,,
"May
Stitching",Máy đập tẻ có keo,Glue and hammering machine,自動上膠錘平機,,
"May
Stitching",Máy lạng,Skiving machine, 削皮,,
"May
Stitching",Máy cà,Rough machine, 滚压,,
"May
Stitching",Máy mài muose,Buffing mouse machine,磨泡棉机,,
"May
Stitching",Máy đục,Punching machine, 冲孔機,,
"May
Stitching",Máy tán,Eyeleting machine,打眼機,,
"May
Stitching",Máy gấp biên,Edge folding machine, 修边机,,
"May
Stitching",Máy đập bằng,Hammering machine ,捶平機,,
"May
Stitching",Máy may chương trình,Computer Stitching machine,電腦針車,,
"May
Stitching",Máy ép tem ni số,Tongue label pressing machine,燙標機,,
"May
Stitching",Máy phun keo,Hotmelt spraying macthine,噴膠機,,
"May
Stitching",Máy lăn/quay keo nóng chảy,Hotmelt rolling macthine, 过胶机,,
"May
Stitching",Máy xén,Trimming machine,修邊機,,
"May
Stitching",Máy hơ chỉ,Blowing machine,烘線機,,
"May
Stitching",Máy ép nối đường may,Heat pressing seam tape,熱風縫口密封機,,
"May
Stitching",Máy may đan,knitting machine, 車馬克機,,
"May
Stitching",Máy vắt sổ,Oversewing machine,考克機,,
"May
Stitching",Máy viền,Binding machine,滾邊機,,
"May
Stitching",Máy zig zag,Zigzag stitching machine,萬能機,,
"May
Stitching",Máy may rút mũi,Toe gathering machine,縮頭機,,
"May
Stitching",Máy bàn 1 kim,1 needle flat bed stitching machine,單針平車,,
"May
Stitching",Máy bàn 2 kim,2 needles flat stitching machine,雙針平車,,
"May
Stitching",Máy cuộn biên zig zag,Binding & zig zag stitching machine,滾邊萬能機,,
"May
Stitching",Máy trụ 1 kim,1 needle post stitching machine,高頭單針,,
"May
Stitching",Máy trụ 2 kim,2 needles post stitching machine,高頭雙針,,
"May
Stitching",Máy may 4kim 6chỉ,4 needles 6 threads machine,四針六線機,,
Assembly 成型,Máy may cóp đế,Strobelling machine, 拉帮机,,
Assembly 成型,Máy làm mềm pho,Heel counter activated machine,後套軟化機,,
Assembly 成型,Máy hấp hơi nước ,Upper steaming machine,鞋頭蒸濕機,,
Assembly 成型,Máy gò gót,Heel lasting machine,后幫機,,
Assembly 成型,Máy gò mũi,Toe lasting machine,前幫機,,
Assembly 成型,Máy gò hông,Side lasting machine,腰幫機,,
Assembly 成型, Máy định hình gót,Heel shape molding machine,後踵定型机,,
Assembly 成型,Máy định hình mũi,Toe shape pressing machine,鞋头定型机,,
Assembly 成型,Máy định vị thân,Marking on upper Machine,車大底線機器,,
Assembly 成型,Máy may chỉ đế,Stitching thread on outsole,车大底机,,
Assembly 成型,Máy lăn/Quay keo nóng chảy,Hotmelt rolling machine, 过胶机,,
Assembly 成型,Thủ công,Handwork, 手工,,
Assembly 成型,Máy làm thẳng đế EVA,EVA wrinkle removing machine,EVA底除皺機,,
Assembly 成型,Máy nông phom,Lasting machine,入楦机,,
Assembly 成型,Máy ép đế,Verticle pressing machine, 压机,,
Assembly 成型,Máy ép chữ thập,Cross pressing machine,十字压机,,
Assembly 成型,Máy xén dây talon,Trim off excessed rubber machine,削边条机,,
Assembly 成型,Máy ép đa năng,"Toe, hee & side pressing machine", 牆式壓機,,
Assembly 成型,Máy mài,Buffing machine,打粗,,
"Stockfitting
Gia công đế",Máy ép đa năng,Universal pressing machine,强式压机,,
"Stockfitting
Gia công đế",Máy ép thủy lực,Liquid bed Pressing machine,水壓機,,
"Stockfitting
Gia công đế",Máy đóng tem tự động,Auto date marking,自動蓋章機,,
"Stockfitting
Gia công đế",Máy lăn keo,Roller coating,過膠機,,
"Heat pressing
Ép nóng",Máy ép nóng,Heat pressing machine,熱壓機,,
"Heat pressing
Ép nóng",Máy chấm định vị siêu âm,Heat gun ,定位超音机,,
"Outsole Compression
Ép đế",Máy cắt tấm,Rubber piece cutting machine,割片机,,
"Outsole Compression
Ép đế",Máy cắt hạt,Rubber palletizing machine ,造粒机,,
"Outsole Compression
Ép đế",Máy ép đế,Outsole compression molding machine,壓大底機,,
"Outsole Compression
Ép đế",Máy bơm keo,Rubber Injection machine,膠水泵機,,
"Outsole Compression
Ép đế",Máy xén biên đế,Outsole side wall trimming machine,大底修邊機,,
